id,type,condition,question,gold_answer,source_answer,generation,prediction,C_P_W,strict_correct,lenient_correct,notes
5ab6c47e55429954757d3368,bridge,c2_correct_kv,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England","University of Oxford, England", University of Oxford,University of Oxford,,,,
5ab6c47e55429954757d3368,bridge,c2_hard_shuffled,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England",Jay Park, University of Oxford,University of Oxford,,,,
5a72b2dc5542992359bc3173,bridge,c2_correct_kv,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp,Anthony Rapp, Jonathan Larson,Jonathan Larson,,,,
5a72b2dc5542992359bc3173,bridge,c2_hard_shuffled,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp,8, Jonathan Larson,Jonathan Larson,,,,
5ab392ec55429969a97a817d,comparison,c2_correct_kv,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory,Tunisian Victory, Baseball,Baseball,,,,
5ab392ec55429969a97a817d,comparison,c2_hard_shuffled,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory,Michel Butor, Baseball,Baseball,,,,
5ab7268b5542992aa3b8c7b1,bridge,c2_correct_kv,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee,Ang Lee, Ang Lee,Ang Lee,,,,
5ab7268b5542992aa3b8c7b1,bridge,c2_hard_shuffled,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee,Doña Ana, Ang Lee,Ang Lee,,,,
5a83305d55429966c78a6b4a,comparison,c2_correct_kv,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia,District of Columbia, Maryland,Maryland,,,,
5a83305d55429966c78a6b4a,comparison,c2_hard_shuffled,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia,Anthony Dalton Roche, Maryland,Maryland,,,,
5ac19ff35542991316484b61,comparison,c2_correct_kv,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb,Phineas and Ferb," The Graveyard Book was published first, while Phineas and Ferb was a television series that aired later. FINAL: The Graveyard Book",The Graveyard Book,,,,
5ac19ff35542991316484b61,comparison,c2_hard_shuffled,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb,Sick Puppies, The Graveyard Book of Phineas and Ferb,The Graveyard Book of Phineas and Ferb,,,,
5a89e92c5542993b751ca9af,bridge,c2_correct_kv,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy","Stadio Olimpico in Rome, Italy", 2008 European Champion's Cup,2008 European Champion's Cup,,,,
5a89e92c5542993b751ca9af,bridge,c2_hard_shuffled,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy",Code#02 Pretty Pretty, 2008–09 UEFA Champions League,2008–09 UEFA Champions League,,,,
5a7e05ba5542995f4f402392,bridge,c2_correct_kv,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show,The Late Late Show, The Tonight Show Studio One,The Tonight Show Studio One,,,,
5a7e05ba5542995f4f402392,bridge,c2_hard_shuffled,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show,Jacob Gedleyihlekisa Zuma, The Tonight Show Studio One,The Tonight Show Studio One,,,,
5a8e276b5542995a26add468,comparison,c2_correct_kv,"Which band formed first, Swervedriver or Incubus?",Swervedriver,Swervedriver, Swervedriver,Swervedriver,,,,
5a8e276b5542995a26add468,comparison,c2_hard_shuffled,"Which band formed first, Swervedriver or Incubus?",Swervedriver,Robert Patrick Mulligan, Incubus,Incubus,,,,
5a7a83b3554299042af8f652,bridge,c2_correct_kv,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""","""Murder Request""", THE DEAL,THE DEAL,,,,
5a7a83b3554299042af8f652,bridge,c2_hard_shuffled,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""",Alistair Grant, THE DEAL,THE DEAL,,,,
5ab2b95c5542991669774072,bridge,c2_correct_kv,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia,Australia, Australia,Australia,,,,
5ab2b95c5542991669774072,bridge,c2_hard_shuffled,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia,Jacob Gedleyihlekisa Zuma, Australia,Australia,,,,
5ae4cf975542990ba0bbb151,bridge,c2_correct_kv,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline,action figure toyline, The Marvel Comics superhero team that first appeared in the 1940 comic book featuring characters from a DC Comic creator by Bob Kane and Bill Finger.,The Marvel Comics superhero team that first appeared in the 1940 comic book featuring characters from a DC Comic creator by Bob Kane and Bill Finger.,,,,
5ae4cf975542990ba0bbb151,bridge,c2_hard_shuffled,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline,Code#02 Pretty Pretty, The Marvel Comics superhero team that first appeared in the 1940 comic book featuring characters from a DC Comic creator by Bob Kane and Bill Finger.,The Marvel Comics superhero team that first appeared in the 1940 comic book featuring characters from a DC Comic creator by Bob Kane and Bill Finger.,,,,
5a79c8945542994bb945709e,bridge,c2_correct_kv,"What year did the director of ""Madadayo"" die?",1998,1998, 2008,2008,,,,
5a79c8945542994bb945709e,bridge,c2_hard_shuffled,"What year did the director of ""Madadayo"" die?",1998,Pigman's Bar-B-Que, 2008,2008,,,,
5ae7c5ef5542993210983f44,bridge,c2_correct_kv,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida","Gainesville, Florida", Gainesville,Gainesville,,,,
