id,type,condition,question,gold_answer,generation,prediction,C_P_W,strict_correct,lenient_correct,notes
5ab6c47e55429954757d3368,bridge,o1_oracle_attention_output,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", Oxford University.,Oxford University.,,,,
5ab6c47e55429954757d3368,bridge,o2_oracle_post_attention_state,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", <answer>University of Oxford</answer>,University of Oxford,,,,
5ab6c47e55429954757d3368,bridge,o3_oracle_block_output,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", <answer>University of Oxford</answer>,University of Oxford,,,,
5ab6c47e55429954757d3368,bridge,o3_oracle_block_output_unaligned,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", <answer>University of Oxford</answer>,University of Oxford,,,,
5a72b2dc5542992359bc3173,bridge,o1_oracle_attention_output,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, <answer>Anthony Rapp</answer>,Anthony Rapp,,,,
5a72b2dc5542992359bc3173,bridge,o2_oracle_post_attention_state,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, <answer>Anthony Rapp</answer>,Anthony Rapp,,,,
5a72b2dc5542992359bc3173,bridge,o3_oracle_block_output,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, <answer>Anthony Rapp</answer>,Anthony Rapp,,,,
5a72b2dc5542992359bc3173,bridge,o3_oracle_block_output_unaligned,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, <answer>Anthony Rapp</answer>,Anthony Rapp,,,,
5ab392ec55429969a97a817d,comparison,o1_oracle_attention_output,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, <answer>Baseball came out first.</answer>,Baseball came out first.,,,,
5ab392ec55429969a97a817d,comparison,o2_oracle_post_attention_state,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, <answer>Baseball came out first. FINAL: <answer>Baseball came out first.,Baseball came out first.,,,,
