id,condition,question,gold_answer,generation,C_P_W,strict_correct,lenient_correct
5ab6c47e55429954757d3368,question_only,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", Oxford University.,,,
5ab6c47e55429954757d3368,reader_off,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", Oxford University.,,,
5ab6c47e55429954757d3368,full_evidence_text,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", <answer>University of Oxford</answer>,,,
5ab6c47e55429954757d3368,qwen3_4b_qconditioned_native_reader_c,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", Oxford,,,
5ab6c47e55429954757d3368,qwen3_4b_qconditioned_hard_shuffled_reader_c,Adam Fox was one of the first members of an informal literary discussion group associated with what University?,"University of Oxford, England", University of Toronto,,,
5a72b2dc5542992359bc3173,question_only,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, Anthony Rapp.,,,
5a72b2dc5542992359bc3173,reader_off,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, Anthony Rapp.,,,
5a72b2dc5542992359bc3173,full_evidence_text,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, <answer>Anthony Rapp</answer>,,,
5a72b2dc5542992359bc3173,qwen3_4b_qconditioned_native_reader_c,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, Anthony Rapp,,,
5a72b2dc5542992359bc3173,qwen3_4b_qconditioned_hard_shuffled_reader_c,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp, Kelli Johnsen,,,
5ab392ec55429969a97a817d,question_only,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, Baseball came out first.,,,
5ab392ec55429969a97a817d,reader_off,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, Baseball came out first.,,,
5ab392ec55429969a97a817d,full_evidence_text,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, <answer>Baseball came out first. FINAL: <answer>Baseball came out first.,,,
5ab392ec55429969a97a817d,qwen3_4b_qconditioned_native_reader_c,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, Baseball,,,
5ab392ec55429969a97a817d,qwen3_4b_qconditioned_hard_shuffled_reader_c,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, Baseball,,,
5ab7268b5542992aa3b8c7b1,question_only,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee, Ang Lee.,,,
5ab7268b5542992aa3b8c7b1,reader_off,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee, Ang Lee.,,,
5ab7268b5542992aa3b8c7b1,full_evidence_text,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee, <answer>Ang Lee.,,,
5ab7268b5542992aa3b8c7b1,qwen3_4b_qconditioned_native_reader_c,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee, Ang Lee,,,
5ab7268b5542992aa3b8c7b1,qwen3_4b_qconditioned_hard_shuffled_reader_c,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee," Las Vegas, Nevada",,,
5a83305d55429966c78a6b4a,question_only,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia," Washington, D.C.",,,
5a83305d55429966c78a6b4a,reader_off,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia," Washington, D.C.",,,
5a83305d55429966c78a6b4a,full_evidence_text,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia," <answer>Washington, D.C.</answer>",,,
5a83305d55429966c78a6b4a,qwen3_4b_qconditioned_native_reader_c,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia," Washington, D.C.",,,
5a83305d55429966c78a6b4a,qwen3_4b_qconditioned_hard_shuffled_reader_c,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia, Maryland,,,
5ac19ff35542991316484b61,question_only,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb, The Graveyard Book was published first.,,,
5ac19ff35542991316484b61,reader_off,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb, The Graveyard Book was published first.,,,
5ac19ff35542991316484b61,full_evidence_text,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb," <answer>Phineas and Ferb was published or broadcast first, as it originally broadcast as a one-episode preview on August 17, ",,,
5ac19ff35542991316484b61,qwen3_4b_qconditioned_native_reader_c,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb, The Graveyard Book,,,
5ac19ff35542991316484b61,qwen3_4b_qconditioned_hard_shuffled_reader_c,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb, The Graveyard Book,,,
5a89e92c5542993b751ca9af,question_only,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy"," The 54th edition of the 2009 UEFA Champions League Final was played on May 26, 2009, at",,,
5a89e92c5542993b751ca9af,reader_off,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy"," The 54th edition of the 2009 UEFA Champions League Final was played on May 26, 2009, at",,,
5a89e92c5542993b751ca9af,full_evidence_text,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy", The 2009 UEFA Champions League Final was played at the Stadio Olimpico in Rome on 27 May 2009,,,
5a89e92c5542993b751ca9af,qwen3_4b_qconditioned_native_reader_c,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy"," Wembley Stadium, London",,,
5a89e92c5542993b751ca9af,qwen3_4b_qconditioned_hard_shuffled_reader_c,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy", 20 September 2009,,,
5a7e05ba5542995f4f402392,question_only,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, <answer> The Tonight Show Starring Johnny Carson </answer>,,,
5a7e05ba5542995f4f402392,reader_off,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, <answer> The Tonight Show Starring Johnny Carson </answer>,,,
5a7e05ba5542995f4f402392,full_evidence_text,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, <answer>The Late Late Show</answer>,,,
5a7e05ba5542995f4f402392,qwen3_4b_qconditioned_native_reader_c,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, The Late Show with David Letterman,,,
5a7e05ba5542995f4f402392,qwen3_4b_qconditioned_hard_shuffled_reader_c,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, Saturday Night Live,,,
5a8e276b5542995a26add468,question_only,"Which band formed first, Swervedriver or Incubus?",Swervedriver, Swervedriver.,,,
5a8e276b5542995a26add468,reader_off,"Which band formed first, Swervedriver or Incubus?",Swervedriver, Swervedriver.,,,
5a8e276b5542995a26add468,full_evidence_text,"Which band formed first, Swervedriver or Incubus?",Swervedriver, <answer>Swervedriver formed first. FINAL: <answer>Swervedriver formed first.,,,
5a8e276b5542995a26add468,qwen3_4b_qconditioned_native_reader_c,"Which band formed first, Swervedriver or Incubus?",Swervedriver, Incubus,,,
5a8e276b5542995a26add468,qwen3_4b_qconditioned_hard_shuffled_reader_c,"Which band formed first, Swervedriver or Incubus?",Swervedriver, Roberta Flack,,,
5a7a83b3554299042af8f652,question_only,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request"""," THE DEAL is based on the book ""The Deal"" by Lee Jae-wook.",,,
5a7a83b3554299042af8f652,reader_off,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request"""," THE DEAL is based on the book ""The Deal"" by Lee Jae-wook.",,,
5a7a83b3554299042af8f652,full_evidence_text,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""", The Deal,,,
5a7a83b3554299042af8f652,qwen3_4b_qconditioned_native_reader_c,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""", The Deal,,,
5a7a83b3554299042af8f652,qwen3_4b_qconditioned_hard_shuffled_reader_c,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""", The Deal,,,
5ab2b95c5542991669774072,question_only,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, Australia.,,,
5ab2b95c5542991669774072,reader_off,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, Australia.,,,
5ab2b95c5542991669774072,full_evidence_text,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, Australia.,,,
5ab2b95c5542991669774072,qwen3_4b_qconditioned_native_reader_c,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, Australia,,,
5ab2b95c5542991669774072,qwen3_4b_qconditioned_hard_shuffled_reader_c,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, South Africa,,,
5ae4cf975542990ba0bbb151,question_only,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline," ""The Dark Knight Returns.""",,,
5ae4cf975542990ba0bbb151,reader_off,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline," ""The Dark Knight Returns.""",,,
5ae4cf975542990ba0bbb151,full_evidence_text,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline, <answer>Movie Masters</answer>,,,
5ae4cf975542990ba0bbb151,qwen3_4b_qconditioned_native_reader_c,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline, Batman,,,
5ae4cf975542990ba0bbb151,qwen3_4b_qconditioned_hard_shuffled_reader_c,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline, Batman,,,
5a79c8945542994bb945709e,question_only,"What year did the director of ""Madadayo"" die?",1998, 1994.,,,
5a79c8945542994bb945709e,reader_off,"What year did the director of ""Madadayo"" die?",1998, 1994.,,,
5a79c8945542994bb945709e,full_evidence_text,"What year did the director of ""Madadayo"" die?",1998, <answer>1998</answer>,,,
5a79c8945542994bb945709e,qwen3_4b_qconditioned_native_reader_c,"What year did the director of ""Madadayo"" die?",1998, 1998,,,
5a79c8945542994bb945709e,qwen3_4b_qconditioned_hard_shuffled_reader_c,"What year did the director of ""Madadayo"" die?",1998, 1998,,,
5ae7c5ef5542993210983f44,question_only,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", Tallahassee.,,,
5ae7c5ef5542993210983f44,reader_off,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", Tallahassee.,,,
5ae7c5ef5542993210983f44,full_evidence_text,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", <answer>Gainesville</answer>,,,
5ae7c5ef5542993210983f44,qwen3_4b_qconditioned_native_reader_c,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", Gainesville,,,
5ae7c5ef5542993210983f44,qwen3_4b_qconditioned_hard_shuffled_reader_c,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", Titusville,,,
5a79131a554299148911f9e3,question_only," Also known as the Great Action, what other name did this event go by?",Große Aktion, The Battle of the Somme.,,,
5a79131a554299148911f9e3,reader_off," Also known as the Great Action, what other name did this event go by?",Große Aktion, The Battle of the Somme.,,,
5a79131a554299148911f9e3,full_evidence_text," Also known as the Great Action, what other name did this event go by?",Große Aktion, <answer>Große Aktion</answer>,,,
5a79131a554299148911f9e3,qwen3_4b_qconditioned_native_reader_c," Also known as the Great Action, what other name did this event go by?",Große Aktion, Great Strike,,,
5a79131a554299148911f9e3,qwen3_4b_qconditioned_hard_shuffled_reader_c," Also known as the Great Action, what other name did this event go by?",Große Aktion, The Great American Soccer League playoffs,,,
5a89fc305542993b751ca9dc,question_only,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, The Outer Banks landmark and premiere BBQ restaurant featured in Southern Living is the Outer Bayside Restaurant.,,,
5a89fc305542993b751ca9dc,reader_off,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, The Outer Banks landmark and premiere BBQ restaurant featured in Southern Living is the Outer Bayside Restaurant.,,,
5a89fc305542993b751ca9dc,full_evidence_text,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, Pigman's Bar-B-Que.,,,
5a89fc305542993b751ca9dc,qwen3_4b_qconditioned_native_reader_c,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, Southern Living Magazine,,,
5a89fc305542993b751ca9dc,qwen3_4b_qconditioned_hard_shuffled_reader_c,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, The Cherokee Nation,,,
5a727ca45542994cef4bc2d8,question_only,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, Old Orchard Shopping Center is currently called Old Orchard.,,,
5a727ca45542994cef4bc2d8,reader_off,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, Old Orchard Shopping Center is currently called Old Orchard.,,,
5a727ca45542994cef4bc2d8,full_evidence_text,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, Westfield Old Orchard.,,,
5a727ca45542994cef4bc2d8,qwen3_4b_qconditioned_native_reader_c,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, Old Orchard Town Center,,,
5a727ca45542994cef4bc2d8,qwen3_4b_qconditioned_hard_shuffled_reader_c,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, The Shops at Old Orchard,,,
5ab846e155429919ba4e229c,question_only,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche, Jamie Murray.,,,
5ab846e155429919ba4e229c,reader_off,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche, Jamie Murray.,,,
5ab846e155429919ba4e229c,full_evidence_text,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche," Tony Roche won more Grand Slam doubles titles, with thirteen, compared to Jamie Murray's five. FINAL: <answer>",,,
5ab846e155429919ba4e229c,qwen3_4b_qconditioned_native_reader_c,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche, Jamie Murray,,,
5ab846e155429919ba4e229c,qwen3_4b_qconditioned_hard_shuffled_reader_c,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche, Jamie Murray,,,
5addfe1c5542995b365fabaf,question_only,Are Wolfgang Becker and Jacques Audiard both German film directors?,no," No. Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.",,,
5addfe1c5542995b365fabaf,reader_off,Are Wolfgang Becker and Jacques Audiard both German film directors?,no," No. Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.",,,
5addfe1c5542995b365fabaf,full_evidence_text,Are Wolfgang Becker and Jacques Audiard both German film directors?,no," <answer>No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.</answer>",,,
5addfe1c5542995b365fabaf,qwen3_4b_qconditioned_native_reader_c,Are Wolfgang Becker and Jacques Audiard both German film directors?,no, no,,,
5addfe1c5542995b365fabaf,qwen3_4b_qconditioned_hard_shuffled_reader_c,Are Wolfgang Becker and Jacques Audiard both German film directors?,no, no,,,
5abd13b655429924427fceea,question_only," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, <answer>Justin Timberlake</answer>,,,
5abd13b655429924427fceea,reader_off," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, <answer>Justin Timberlake</answer>,,,
5abd13b655429924427fceea,full_evidence_text," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, <answer>Jack White</answer>,,,
5abd13b655429924427fceea,qwen3_4b_qconditioned_native_reader_c," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, Jack White,,,
5abd13b655429924427fceea,qwen3_4b_qconditioned_hard_shuffled_reader_c," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, Kaan Yavuz,,,
5ae1b1aa5542997283cd223f,question_only,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers, The other Los Angeles team was the Los Angeles Lakers.,,,
5ae1b1aa5542997283cd223f,reader_off,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers, The other Los Angeles team was the Los Angeles Lakers.,,,
5ae1b1aa5542997283cd223f,full_evidence_text,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers," <answer>The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the",,,
5ae1b1aa5542997283cd223f,qwen3_4b_qconditioned_native_reader_c,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers, Los Angeles Lakers,,,
5ae1b1aa5542997283cd223f,qwen3_4b_qconditioned_hard_shuffled_reader_c,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers, San Jose Sharks,,,
5ac2758b55429963665199c3,question_only,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, <answer> 1 December 1881.,,,
5ac2758b55429963665199c3,reader_off,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, <answer> 1 December 1881.,,,
5ac2758b55429963665199c3,full_evidence_text,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, <answer>10 January 1920.,,,
5ac2758b55429963665199c3,qwen3_4b_qconditioned_native_reader_c,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, 10 January 1920,,,
5ac2758b55429963665199c3,qwen3_4b_qconditioned_hard_shuffled_reader_c,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, 12 February 1857,,,
5ae560155542990ba0bbb293,question_only,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no, No.,,,
5ae560155542990ba0bbb293,reader_off,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no, No.,,,
5ae560155542990ba0bbb293,full_evidence_text,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no," <answer>No. The Living Desert was directed by James Algar, while What Would Jesus Buy? was directed by Rob VanAlkemade.</answer>",,,
5ae560155542990ba0bbb293,qwen3_4b_qconditioned_native_reader_c,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no, no,,,
5ae560155542990ba0bbb293,qwen3_4b_qconditioned_hard_shuffled_reader_c,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no, no,,,
5a81c90a5542990a1d231eb4,question_only,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no," No. Tiger Please is from the United Kingdom, while Black Rebel Motorcycle Club is from the United States.",,,
5a81c90a5542990a1d231eb4,reader_off,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no," No. Tiger Please is from the United Kingdom, while Black Rebel Motorcycle Club is from the United States.",,,
5a81c90a5542990a1d231eb4,full_evidence_text,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no," <answer>No, Tiger Please is from Wales and Black Rebel Motorcycle Club is from the United States, so they are not from the same country.</answer>",,,
5a81c90a5542990a1d231eb4,qwen3_4b_qconditioned_native_reader_c,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no, no,,,
5a81c90a5542990a1d231eb4,qwen3_4b_qconditioned_hard_shuffled_reader_c,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no, no,,,
5adec53655429975fa854f87,question_only,Are Kim Dong-jun and Charlie Harper both singers?,yes, Yes.,,,
5adec53655429975fa854f87,reader_off,Are Kim Dong-jun and Charlie Harper both singers?,yes, Yes.,,,
5adec53655429975fa854f87,full_evidence_text,Are Kim Dong-jun and Charlie Harper both singers?,yes," <answer> Yes, Kim Dong-jun and Charlie Harper are both singers.",,,
5adec53655429975fa854f87,qwen3_4b_qconditioned_native_reader_c,Are Kim Dong-jun and Charlie Harper both singers?,yes, yes,,,
5adec53655429975fa854f87,qwen3_4b_qconditioned_hard_shuffled_reader_c,Are Kim Dong-jun and Charlie Harper both singers?,yes, no,,,
5a8b6ee255429950cd6afcfd,question_only,"Whiich genus has more species, Dracula or Pistacia?",Dracula, Pistacia.,,,
5a8b6ee255429950cd6afcfd,reader_off,"Whiich genus has more species, Dracula or Pistacia?",Dracula, Pistacia.,,,
5a8b6ee255429950cd6afcfd,full_evidence_text,"Whiich genus has more species, Dracula or Pistacia?",Dracula," <answer>Dracula has more species, with 118 species compared to Pistacia's 10 to 20 species. FINAL: <",,,
5a8b6ee255429950cd6afcfd,qwen3_4b_qconditioned_native_reader_c,"Whiich genus has more species, Dracula or Pistacia?",Dracula, Dracula,,,
