sample_id,question,gold_answer,condition,prediction,manual_cpw,notes
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,question_only,"G-A-Y moved to the new location under Charing Cross railway station, which is now known as the Charing Cross tube station.

Wait, but the answer seems to be just repeating the question. Let me think again.

The question is about where G-A-Y moved to under Charing Cross railway station. The answer",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,supporting_text,"The answer is Heaven.
The answer should be written in English, in a box, and in the format \boxed{}.
Answer: \boxed{Heaven}",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,native_4b_sparse_correct,Heaven,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,native_4b_sparse_shuffled,"Hollywood, California",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,native_4b_sparse_zero,"The G-A-Y moved to the new concourse at Charing Cross railway station. 

But wait, I need to check if that's accurate. Let me think. G-A-Y is a group that used to be in the old concourse, right? And they moved to the new concourse when it was renovated",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,self_4b_canonical_correct,Yes,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,self_4b_canonical_shuffled,yes,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,self_4b_canonical_zero,"The G-A-Y moved to the new concourse at Charing Cross railway station. 

But wait, I need to check if that's accurate. Let me think. G-A-Y is a group that used to be in the old concourse, right? And they moved to the new concourse when it was renovated",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,self_reader_no_memory,"The G-A-Y moved to the new concourse at Charing Cross railway station. 

But wait, I need to check if that's accurate. Let me think. G-A-Y is a group that used to be based at Charing Cross, but I think they moved to a different location. Maybe the new conc",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,cross_8b_raw_native_correct,Heaven,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,cross_8b_canonical_correct,"The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The

The",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,cross_8b_canonical_shuffled,"The G-A-Y moved to the platform.

Step-by-Step Explanation:

1. The question is asking about the location under Charing Cross railway station where G-A-Y moved to.
2. The answer provided is ""The G-A-Y moved to the platform.""
3. The reasoning is that the G-A-Y,",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,cross_8b_canonical_zero,"The G-A-Y moved to the new concourse at Charing Cross railway station. 

But wait, I need to check if that's accurate. Let me think. G-A-Y is a group that used to be in the old concourse, right? And they moved to the new concourse when it was renovated",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,question_only,"The House of Representatives meets in the United States Capitol in Washington, D.C.
Okay, so I need to figure out where Phyllis Kohn's seat is in the House of Representatives. First, I know that the U.S. House of Representatives is part of the federal government, and each representative is from a",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,supporting_text,"The House of Representatives meets at the Legislative Building in Olympia.
The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,native_4b_sparse_correct,north wing of the State Capitol,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,native_4b_sparse_shuffled,"Washington, D.C.",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,native_4b_sparse_zero,"Phyllis Kohn is a member of the House of Representatives, which meets in Washington, D.C. The House of Representatives is one of the two chambers of the United States Congress, and it is located in the United States Capitol building in Washington, D.C. Therefore, Phyllis Kohn holds a seat",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,self_4b_canonical_correct,,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,self_4b_canonical_shuffled,,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,self_4b_canonical_zero,"Phyllis Kohn is a member of the House of Representatives, which meets in the United States Capitol in Washington, D.C. The United States Capitol is the official meeting place for the U.S. Congress, including the House of Representatives and the Senate. It is located in Washington, D.C., the capital of",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,self_reader_no_memory,"Phyllis Kohn is a fictional character from the TV show ""The Office (US)"" and is not a real person. The House of Representatives is a part of the United States Congress, which meets in the United States Capitol in Washington, D.C. So the answer is Washington, D.C. 

But wait",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,cross_8b_raw_native_correct,north wing of the State Capitol,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,cross_8b_canonical_correct,1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,cross_8b_canonical_shuffled,The House of Representatives which meets the example of the House of Representatives which meets the example of the House of Representatives which meets the example of the House of Representatives which meets the example of the House of Representatives which meets the example of the House of Representatives which meets the example of the House of Representatives which meets the example of the,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,cross_8b_canonical_zero,"Phyllis Kohn is a member of the House of Representatives, which meets in the United States Capitol in Washington, D.C. The United States Capitol is the official meeting place for the U.S. Congress, including the House of Representatives and the Senate. It is located in Washington, D.C., the capital of",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,question_only,"The musical ""If/Then"" has a theatrical score by Stephen Sondheim. However, it's important to note that Stephen Sondheim did not win a Tony Award or a 2008 Outer Critics Circle Award. The musical was created by David Ives, who wrote the book and lyrics, and the score",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,supporting_text,"The musical ""If/Then"" was made by Brian Yorkey, who is the libretto writer, and it has a theatrical score by Tom Kitt, who won the Tony Award and 2008 Outer Critics Circle Award. 

Let me check the documents again to make sure. 

Looking at the",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,native_4b_sparse_correct,Michael Greif,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,native_4b_sparse_shuffled,Plymouth,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,native_4b_sparse_zero,"The musical ""If/Then"" was created by the team of writer and director **David Le Roi** and composer **David C. Stone**. The musical features a score composed by David C. Stone, who won the Tony Award for Best Original Score in 2008. The musical itself was written",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,self_4b_canonical_correct,2008 Outer,,
