sample_id,question,gold_answer,condition,prediction,manual_cpw,notes
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,question_only,"G-A-Y moved to the new location under Charing Cross railway station, which is now known as the Charing Cross tube station.

Wait, but the answer seems to be just repeating the question. Let me think again.

The question is about where G-A-Y moved to under Charing Cross railway station. The answer",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,supporting_text,"The answer is Heaven.
The answer should be written in English, in a box, and in the format \boxed{}.
Answer: \boxed{Heaven}",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,native_4b,111111111111111111111111111111111111111111111111111111111111111,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,native_4b_shuffled,"moved to, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by, by",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,raw_native_8b,Heaven,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,writer_8b_correct,"On Friday 3 October 2008, it moved to famous gay venue Heaven.",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,writer_8b_shuffled,"What location under Charing Cross railway station did G-A-Y move to?

Answer: What location under Charing Cross railway station did G-A-Y move to?

Answer: What location under Charing Cross railway station did G-A-Y move to?

Answer: What location under Charing Cross railway station did G-A-Y move",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,writer_8b_zero,Charing Cross railway station,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,pair_reader_8b,underneath Trafalgar Square,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,question_only,"The House of Representatives meets in the United States Capitol in Washington, D.C.
Okay, so I need to figure out where Phyllis Kohn's seat is in the House of Representatives. First, I know that the U.S. House of Representatives is part of the federal government, and each representative is from a",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,supporting_text,"The House of Representatives meets at the Legislative Building in Olympia.
The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,native_4b,where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where? where?,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,native_4b_shuffled,United States,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,raw_native_8b,Phyllis Kohn holds a seat in the House of Representatives which meets where?,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,writer_8b_correct,Phyllis Kohn holds a seat in the House of Representatives which meets where?,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,writer_8b_shuffled,Phyllis Kohn holds a seat in the House of Representatives which meets where?,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,writer_8b_zero,"Washington, D.C.",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,pair_reader_8b,north wing of the State Capitol in Saint Paul,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,question_only,"The musical ""If/Then"" has a theatrical score by Stephen Sondheim. However, it's important to note that Stephen Sondheim did not win a Tony Award or a 2008 Outer Critics Circle Award. The musical was created by David Ives, who wrote the book and lyrics, and the score",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,supporting_text,"The musical ""If/Then"" was made by Brian Yorkey, who is the libretto writer, and it has a theatrical score by Tom Kitt, who won the Tony Award and 2008 Outer Critics Circle Award. 

Let me check the documents again to make sure. 

Looking at the",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,native_4b,Brian Yorkey and Tom Kitt,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,native_4b_shuffled,The If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,raw_native_8b,,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,writer_8b_correct,2008 Outer Critics Circle Award?,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,writer_8b_shuffled,The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,writer_8b_zero,If/Then,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,pair_reader_8b,Tom Kitt,,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,question_only,"The actress who starred in ""Claudine's Return"" is Janeane Garofalo. She played the role of Maude in ""Married...with Children.""
Okay, let's see. The question is asking which role on ""Married...with Children"" the actress who starred in ""Claudine's",,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,supporting_text,"The actress who starred in ""Claudine's Return"" is Christina Applegate. On ""Married...with Children,"" she played the role of Kelly Bundy. Therefore, the answer is Kelly Bundy.
Let me check the documents again to make sure. 

Looking at the document for Christina Applegate, Sentence 0",,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,native_4b,"Claudine's Return starred the actress who played the role of Kelly Bundy on ""Married...with Children"" on ""Married...with Children"" on ""Married...with Children"" on ""Married...with Children"" on ""Married...with Children"" on ""Married...with Children"" on """,,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,native_4b_shuffled,Claudine,,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,raw_native_8b,Claudine,,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,writer_8b_correct,"Claudine's Return starred the actress who played which role on ""Marified...with Children""?",,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,writer_8b_shuffled,"Claudine's Return starred the actress who played which role on ""Married...with Children?""",,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,writer_8b_zero,"Karen ""Maggie"" Pomeroy",,
5a8c6342554299240d9c214a,"Claudine's Return starred the actress who played which role on ""Married...with Children""?",Kelly Bundy,pair_reader_8b,Kelly Bundy,,
