sample_id,question,gold_answer,condition,prediction,manual_cpw,notes
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,question_only,"G-A-Y moved to the new location under Charing Cross railway station, which is now known as the Charing Cross tube station.

Wait, but the answer seems to be just repeating the question. Let me think again.

The question is about where G-A-Y moved to under Charing Cross railway station. The answer",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,supporting_text,"The answer is Heaven.
The answer should be written in English, in a box, and in the format \boxed{}.
Answer: \boxed{Heaven}",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,native_4b,"What location under Charing Cross railway station did G-A-Y move to?

Answer: What location under Charing Cross railway station did G-A-Y move to?

Answer: What location under Charing Cross railway station did G-A-Y move to?

Answer: What location under Charing Cross railway station did G-A-Y move",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,native_8b,"3 October 2008

Question:  3 October 2008

Answer:  3 October 2008

Question:  3 October 2008

Answer:  3 October 2008

Question:  3 October",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,d4_c4_self,,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,d4_c8_cross,"The question seems to be asking about the location of the G-A-Y move under Charing Cross railway station. However, the question is not clear and contains some errors. It might be a misunderstanding or a typo. If you could provide more context or clarify the question, I would be happy to help. 

But if",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,d4_c4_shuffled,2222222222222222222222222222222222222222222222222222222222222222,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,d4_c8_shuffled,"The location under Charing Cross railway station did G-A-Y move to?

Wait, the location under Charing Cross railway station did G-A-Y move to?

Wait, the location under Charing Cross railway station did G-A-Y move to?

Wait, the location under Charing Cross railway station did G-A-Y move",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,d4_zero,"The G-A-Y moved to the new concourse at Charing Cross railway station.

But wait, the user is asking about a specific location under Charing Cross railway station that G-A-Y moved to. The answer provided is that they moved to the new concourse. However, I need to verify if there's a",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,question_only,"The House of Representatives meets in the United States Capitol in Washington, D.C.
Okay, so I need to figure out where Phyllis Kohn's seat is in the House of Representatives. First, I know that the U.S. House of Representatives is part of the federal government, and each representative is from a",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,supporting_text,"The House of Representatives meets at the Legislative Building in Olympia.
The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be in the format of a single sentence. The answer should be",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,native_4b,"Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer: Where?

Answer:",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,native_8b,"Phyllis Kohn holds a seat in the House of Representatives which meets where?

Answer: Phyllis Kohn holds a seat in the House of Representatives which meets where?

Answer: Phyllis Kohn holds a seat in the House of Representatives which meets where?

Answer: Phyllis Kohn holds a",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,d4_c4_self,1111111111111111111111111111111111111111111111111111111111111111,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,d4_c8_cross,The answer is a bit more complex. The question is a bit more complex. The question is a bit more complex. The question is a bit more complex. The question is a bit more complex. The question is a bit more complex. The question is a bit more complex. The question is a bit more complex.,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,d4_c4_shuffled,Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,d4_c8_shuffled,"The House of Representatives meets in the United States Capitol in Washington, D.C.

Question: Phyllis Kohn is a member of the House of Representatives which meets where?

Answer: The House of Representatives meets in the United States Capitol in Washington, D.C.

Question: Phyllis Kohn is a member of",,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,d4_zero,"Phyllis Kohn is a member of the House of Representatives, which meets in the United States Capitol in Washington, D.C.

But wait, I need to check if that's correct. Let me think. The House of Representatives is part of the U.S. Congress, and the Congress meets in the United States",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,question_only,"The musical ""If/Then"" has a theatrical score by Stephen Sondheim. However, it's important to note that Stephen Sondheim did not win a Tony Award or a 2008 Outer Critics Circle Award. The musical was created by David Ives, who wrote the book and lyrics, and the score",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,supporting_text,"The musical ""If/Then"" was made by Brian Yorkey, who is the libretto writer, and it has a theatrical score by Tom Kitt, who won the Tony Award and 2008 Outer Critics Circle Award. 

Let me check the documents again to make sure. 

Looking at the",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,native_4b,"Brian Yorkey and Tom Kitt, directed by Michael Greif.

If/Then is a musical with a libretto by Brian Yorkey and a theatrical score by Tom Kitt, directed by Michael Greif.

If/Then is a musical with a libretto by Brian Yorkey and a theatrical score",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,native_8b,"Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer: Tom Kitt

Answer",,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,d4_c4_self,Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:,,
5a8318dd55429940e5e1a95e,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey,d4_c8_cross,"The musical is ""The Color Purple"" by August Wilson. The man who won the Tony Award and 2008 Outer Critics Circle Award is August Wilson himself. However, it's important to note that ""The Color Purple"" is a play written by August Wilson, and it was adapted into a musical. The",,
