sample_id,question,gold_answer,condition,prediction,manual_cpw,notes
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,A_question_only,"The location under Charing Cross railway station that G-A-Y moved to is the **Charing Cross Underground Station**. However, it's important to note that G-A-Y, which stands for ""Gardeners' Association of York,"" is a gardeners' organization. The movement of G-A-Y to Charing",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,B_supporting_text,"Heaven (nightclub)
Okay, let's see. The user is asking about the location under Charing Cross railway station that G-A-Y moved to. The evidence provided mentions that on October 3, 2008, G-A-Y moved to a famous gay venue called Heaven. Then it states that Heaven",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,C_4b_native_lora_off,"Heaven (nightclub)
Okay, let's see. The user is asking about the location under Charing Cross railway station that G-A-Y moved to. The evidence provided mentions that on October 3, 2008, G-A-Y moved to a famous gay venue called Heaven. Then it states that Heaven",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,D_4b_correct_self,Heaven,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,E_4b_shuffled_self,Frankfurter Rippchen,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,F_4b_zero_self,East Wing,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,G_no_kv_self,"Charing Cross railway station, London",,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,H_8b_correct_self,Heaven,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,I_8b_shuffled_self,Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt Frankfurt,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,J_8b_zero_self,East Wing,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,K_8b_correct_pair,underneath Trafalgar Square,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,L_8b_shuffled_pair,Frankfurt,,
5a80735b554299485f5985f3,What location under Charing Cross railway station did G-A-Y move to?,venue Heaven,M_8b_zero_pair,East Wing of the station.,,
5ac3a0db554299391541383a,Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul,A_question_only,"The House of Representatives meets in the United States Capitol in Washington, D.C. Phyllis Kohn is a member of the U.S. House of Representatives, so her seat is located in the Capitol building in Washington, D.C. The answer is the United States Capitol in Washington, D.C. The answer is",,
