sample_id,type,condition,answer,prediction,em,token_f1,nll,manual_c_p_w
5a80735b554299485f5985f3,bridge,f0_scale_only_correct,venue Heaven,Heaven,0.0,0.6666666666666666,2.8449366092681885,
5ac3a0db554299391541383a,bridge,f0_scale_only_correct,Saint Paul,north wing of the State Capitol,0.0,0.0,0.6723800301551819,
5a8318dd55429940e5e1a95e,bridge,f0_scale_only_correct,Brian Yorkey,Tom Kitt,0.0,0.0,0.9450346231460571,
5a8c6342554299240d9c214a,bridge,f0_scale_only_correct,Kelly Bundy,Kelly Bundy,1.0,1.0,0.0730319544672966,
5a8adbf55542992d82986fab,bridge,f0_scale_only_correct,over 150 films,150,0.0,0.5,0.47284024953842163,
5a8d263f554299653c1aa139,bridge,f0_scale_only_correct,1999,1999,1.0,1.0,0.034786250442266464,
5adfb790554299603e418389,comparison,f0_scale_only_correct,plant genus,genus,0.0,0.6666666666666666,0.706463098526001,
5a839c8b5542996488c2e479,bridge,f0_scale_only_correct,Lord Chancellor of England,Lord Chancellor,0.0,0.6666666666666666,0.9764012098312378,
5abec9b25542997ec76fd366,bridge,f0_scale_only_correct,"Ravenna (] , also locally ] ; Romagnol: ""Ravèna"" ) is the capital city of the Province of Ravenna",Ravenna,0.0,0.15384615384615385,1.6190825700759888,
5ab859a955429934fafe6d7b,bridge,f0_scale_only_correct,Phil Spector,Phil Spector,1.0,1.0,0.11816336959600449,
5a7d2b535542995f4f402224,comparison,f0_scale_only_correct,Dartmouth College,Dartmouth College,1.0,1.0,0.005044130142778158,
5ae7b6055542993210983f00,bridge,f0_scale_only_correct,La Familia Michoacana,Gulf Cartel,0.0,0.0,1.0952022075653076,
5adf81105542992d7e9f9388,bridge,f0_scale_only_correct,"a syllabic abbreviation from ""Triangle Below Canal Street",The neighborhood is known as the Trieca neighborhood.,0.0,0.0,1.127781629562378,
5ae4e29855429908b63264a9,bridge,f0_scale_only_correct,city of Culiacán,Culiacán,0.0,0.5,1.4238675832748413,
5ac2bbd0554299218029db09,bridge,f0_scale_only_correct,American,American,1.0,1.0,0.0030684503726661205,
5ae25d2b554299495565da46,comparison,f0_scale_only_correct,21,Brian Edward Gottfried,0.0,0.0,4.007739543914795,
5a762d53554299109176e6a7,bridge,f0_scale_only_correct,Croatian,Croatia,0.0,0.0,2.4059441089630127,
5ac43d575542997ea680ca39,bridge,f0_scale_only_correct,Kal Ho Naa Ho,Kho kho,0.0,0.0,1.3292200565338135,
5adf36c55542993344016c3e,bridge,f0_scale_only_correct,for Best Musical,Musical,0.0,0.5,1.9183303117752075,
5a8ee6145542990e94052bab,bridge,f0_scale_only_correct,Comeng and Clyde Engineering,TransAdelaide,0.0,0.0,1.0877288579940796,
5ae7247b5542992ae0d163c1,bridge,f0_scale_only_correct,"November 10, 2017","November 10, 2017",1.0,1.0,0.027152447029948235,
5ab2383155429970612095c1,comparison,f0_scale_only_correct,yes,yes,1.0,1.0,0.19530202448368073,
5a807ceb554299485f598616,bridge,f0_scale_only_correct,Stephen John Coogan,Stephen John Coogan,1.0,1.0,0.3327755331993103,
5a7e355055429934daa2fbf4,bridge,f0_scale_only_correct,Otto Robert Frisch,Otto Robert Frisch,1.0,1.0,0.15188512206077576,
5ae50eff55429908b6326500,bridge,f0_scale_only_correct,Penniman,Little Richard,0.0,0.0,1.6043630838394165,
5a8510a25542994c784ddaf0,comparison,f0_scale_only_correct,writer,novelist,0.0,0.0,0.732375979423523,
5a79e7b45542994f819ef0ff,bridge,f0_scale_only_correct,"""Darconville’s Cat""","""Darconville's Cat""",0.0,0.5,0.44161704182624817,
5a90386455429916514e7435,bridge,f0_scale_only_correct,Town of Islip,Town of Islip,1.0,1.0,0.7026973366737366,
5a7e7ed05542991319bc94c2,comparison,f0_scale_only_correct,"arose on the ""Playboy"" magazine pattern in the 1970s.",Dime Magazine,0.0,0.22222222222222224,1.8125901222229004,
5ab94bc2554299743d22eacf,bridge,f0_scale_only_correct,300,300,1.0,1.0,0.14925338327884674,
5a85fb085542994775f606de,bridge,f0_scale_only_correct,Ronald Shusett,Shuset,0.0,0.0,1.0546722412109375,
5ab48af35542996a3a969f92,bridge,f0_scale_only_correct,Fennec fox,Fennec,0.0,0.6666666666666666,0.6907715201377869,
5a778a8e5542992a6e59deca,bridge,f0_scale_only_correct,William Fichtner,The American comedy film,0.0,0.0,7.927529335021973,
5a7b81715542997c3ec971d4,bridge,f0_scale_only_correct,Hugo Award,Hugo Award,1.0,1.0,0.18966257572174072,
5ae0ba15554299603e41844d,comparison,f0_scale_only_correct,Manglietia,Manglietia,1.0,1.0,0.09483733773231506,
5a82930655429966c78a6a5e,bridge,f0_scale_only_correct,2010 NCAA Division,2010,0.0,0.5,1.9917151927947998,
5a77d5e655429967ab1052cc,bridge,f0_scale_only_correct,Club,Club,1.0,1.0,0.01988629810512066,
5a7af2a455429931da12c998,bridge,f0_scale_only_correct,Miami,Miami,1.0,1.0,0.048135824501514435,
5ae0413555429942ec259c61,bridge,f0_scale_only_correct,Russell T Davies,Russell T Davies,1.0,1.0,0.004520205780863762,
5ae4ea2a5542993aec5ec0ee,bridge,f0_scale_only_correct,2018–19 UEFA Europa League,UEFA Europa League,0.0,0.8571428571428571,0.2777239978313446,
5a8303c255429954d2e2ec01,bridge,f0_scale_only_correct,Chrysler K platform,Chrysler K platform,1.0,1.0,0.19694118201732635,
5a75227955429929fddd8508,bridge,f0_scale_only_correct,Westfield Marion,Westfield Marion,1.0,1.0,0.06900382041931152,
5ae1fb7a554299234fd04383,bridge,f0_scale_only_correct,Memphis,"Memphis, Tennessee",0.0,0.6666666666666666,1.0013930797576904,
5a734e6d5542994cef4bc528,comparison,f0_scale_only_correct,The Beaver and Erie Canal,Beaver and Erie Canal,1.0,1.0,0.6627031564712524,
5a73235c5542994cef4bc475,comparison,f0_scale_only_correct,"Jones was born in Rosedale, Indiana",no,0.0,0.0,4.60974645614624,
5ae52bc75542992663a4f12d,bridge,f0_scale_only_correct,South Korea,"Seoul, South Korea",0.0,0.8,1.0242938995361328,
5a7fc6e45542992e7d278d73,comparison,f0_scale_only_correct,no,yes,0.0,0.0,0.7844956517219543,
5ac3d10b5542993915413952,comparison,f0_scale_only_correct,Maria Esther Andion Bueno,Maria Esther Andion Bueno,1.0,1.0,0.26543471217155457,
5a8e8bed5542990e94052b47,bridge,f0_scale_only_correct,Margaret Thatcher,John Major,0.0,0.0,2.116039276123047,
5abf42f75542993fe9a41dee,comparison,f0_scale_only_correct,Panicum,Panicum,1.0,1.0,0.05904415622353554,
5a7905f555429974737f7947,bridge,f0_scale_only_correct,second largest,second largest,1.0,1.0,0.13586539030075073,
5a77aa8655429949eeb29f22,bridge,f0_scale_only_correct,Emilia Fox,Daniel Craig,0.0,0.0,3.0522987842559814,
5ab56555554299494045ef97,bridge,f0_scale_only_correct,1970s,1970s,1.0,1.0,0.0065214126370847225,
5a7414d855429929fddd83db,bridge,f0_scale_only_correct,Arsenal,Arsenal,1.0,1.0,0.005577276460826397,
5ac27d2555429963665199dc,bridge,f0_scale_only_correct,music,music,1.0,1.0,0.19718070328235626,
5ae409d955429970de88d89d,bridge,f0_scale_only_correct,Richard Allen Street,The Temptations,0.0,0.0,1.308429479598999,
5a7180205542994082a3e856,bridge,f0_scale_only_correct,Creature Comforts,Shaun the Sheep,0.0,0.0,3.02616024017334,
5ae0bb2c5542993d6555ec27,bridge,f0_scale_only_correct,Strange Interlude,The King of Hollywood,0.0,0.0,0.34377333521842957,
5a85ea095542994775f606a8,bridge,f0_scale_only_correct,Animorphs,The Horkajirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayirayiray,0.0,0.0,1.3424018621444702,
5ab201765542993be8fa98a4,bridge,f0_scale_only_correct,1990,1990,1.0,1.0,0.004758200142532587,
5aba77be55429955dce3ee44,bridge,f0_scale_only_correct,7°56',7°56' South,0.0,0.6666666666666666,0.6448579430580139,
5a88c68d55429938390d3fba,bridge,f0_scale_only_correct,Irish,Irish,1.0,1.0,0.015474640764296055,
5a75e29f5542992d0ec0600c,bridge,f0_scale_only_correct,Charles Bronson,Charles Dennis Buchinsky,0.0,0.4,3.204409599304199,
5a88658955429938390d3f47,bridge,f0_scale_only_correct,Conscription,practice,0.0,0.0,2.7796261310577393,
5a80735b554299485f5985f3,bridge,f0_scale_only_shuffled,venue Heaven,Ravenna,0.0,0.0,11.599125862121582,
5ac3a0db554299391541383a,bridge,f0_scale_only_shuffled,Saint Paul,the House of Representatives,0.0,0.0,4.93351411819458,
5a8318dd55429940e5e1a95e,bridge,f0_scale_only_shuffled,Brian Yorkey,Krayziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziziz,0.0,0.0,9.839010238647461,
5a8c6342554299240d9c214a,bridge,f0_scale_only_shuffled,Kelly Bundy,pop group,0.0,0.0,10.316301345825195,
5a8adbf55542992d82986fab,bridge,f0_scale_only_shuffled,over 150 films,1,0.0,0.0,5.094624042510986,
5a8d263f554299653c1aa139,bridge,f0_scale_only_shuffled,1999,1970,0.0,0.0,1.059422254562378,
5adfb790554299603e418389,comparison,f0_scale_only_shuffled,plant genus,,0.0,0.0,6.928325653076172,
5a839c8b5542996488c2e479,bridge,f0_scale_only_shuffled,Lord Chancellor of England,what,0.0,0.0,6.336061954498291,
5abec9b25542997ec76fd366,bridge,f0_scale_only_shuffled,"Ravenna (] , also locally ] ; Romagnol: ""Ravèna"" ) is the capital city of the Province of Ravenna",Theostrogothic,0.0,0.0,6.656704425811768,
5ab859a955429934fafe6d7b,bridge,f0_scale_only_shuffled,Phil Spector,UCF,0.0,0.0,9.55069351196289,
5a7d2b535542995f4f402224,comparison,f0_scale_only_shuffled,Dartmouth College,Dartmouth College,1.0,1.0,0.19459442794322968,
5ae7b6055542993210983f00,bridge,f0_scale_only_shuffled,La Familia Michoacana,The All-American Rejects,0.0,0.0,8.781753540039062,
5adf81105542992d7e9f9388,bridge,f0_scale_only_shuffled,"a syllabic abbreviation from ""Triangle Below Canal Street",Austria,0.0,0.0,8.216513633728027,
5ae4e29855429908b63264a9,bridge,f0_scale_only_shuffled,city of Culiacán,America,0.0,0.0,9.665844917297363,
5ac2bbd0554299218029db09,bridge,f0_scale_only_shuffled,American,American,1.0,1.0,0.008272531442344189,
5ae25d2b554299495565da46,comparison,f0_scale_only_shuffled,21,Peter Fleming,0.0,0.0,5.806637763977051,
5a762d53554299109176e6a7,bridge,f0_scale_only_shuffled,Croatian,the 1999-2000 midseason,0.0,0.0,6.782710552215576,
5ac43d575542997ea680ca39,bridge,f0_scale_only_shuffled,Kal Ho Naa Ho,Nexon,0.0,0.0,8.797255516052246,
5adf36c55542993344016c3e,bridge,f0_scale_only_shuffled,for Best Musical,American,0.0,0.0,7.232586860656738,
5a8ee6145542990e94052bab,bridge,f0_scale_only_shuffled,Comeng and Clyde Engineering,Brian Edward Gottfried,0.0,0.0,10.43781566619873,
5ae7247b5542992ae0d163c1,bridge,f0_scale_only_shuffled,"November 10, 2017",2017,0.0,0.5,1.5983275175094604,
5ab2383155429970612095c1,comparison,f0_scale_only_shuffled,yes,yes,1.0,1.0,0.20740732550621033,
5a807ceb554299485f598616,bridge,f0_scale_only_shuffled,Stephen John Coogan,Christina Applet,0.0,0.0,9.48267936706543,
5a7e355055429934daa2fbf4,bridge,f0_scale_only_shuffled,Otto Robert Frisch,Taylor Swift,0.0,0.0,9.776488304138184,
5ae50eff55429908b6326500,bridge,f0_scale_only_shuffled,Penniman,Russell,0.0,0.0,10.098836898803711,
5a8510a25542994c784ddaf0,comparison,f0_scale_only_shuffled,writer,singer,0.0,0.0,3.8231468200683594,
5a79e7b45542994f819ef0ff,bridge,f0_scale_only_shuffled,"""Darconville’s Cat""",Ravenna,0.0,0.0,8.804947853088379,
5a90386455429916514e7435,bridge,f0_scale_only_shuffled,Town of Islip,Jay,0.0,0.0,6.237550258636475,
5a7e7ed05542991319bc94c2,comparison,f0_scale_only_shuffled,"arose on the ""Playboy"" magazine pattern in the 1970s.",Gallery,0.0,0.0,6.37231969833374,
5ab94bc2554299743d22eacf,bridge,f0_scale_only_shuffled,300,1,0.0,0.0,3.0284695625305176,
5a85fb085542994775f606de,bridge,f0_scale_only_shuffled,Ronald Shusett,Mexican footballer,0.0,0.0,8.643985748291016,
5ab48af35542996a3a969f92,bridge,f0_scale_only_shuffled,Fennec fox,Jerry Goldsmith,0.0,0.0,6.459326267242432,
5a778a8e5542992a6e59deca,bridge,f0_scale_only_shuffled,William Fichtner,John Major,0.0,0.0,11.047966003417969,
5a7b81715542997c3ec971d4,bridge,f0_scale_only_shuffled,Hugo Award,Minnesota House of Representatives,0.0,0.0,10.290164947509766,
5ae0ba15554299603e41844d,comparison,f0_scale_only_shuffled,Manglietia,Ellague,0.0,0.0,1.2921370267868042,
5a82930655429966c78a6a5e,bridge,f0_scale_only_shuffled,2010 NCAA Division,,0.0,0.0,6.311558246612549,
5a77d5e655429967ab1052cc,bridge,f0_scale_only_shuffled,Club,The 1994 European Cup Final,0.0,0.0,7.790825843811035,
