sample_id,question,gold_answer,condition,prediction,manual_cpw,notes
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,question_only,"To determine which magazine has been around longer, Guitar World or Golf Digest, we need to look at their founding dates. Guitar World was first published in 1977, while Golf Digest was established in 1945. Comparing these two dates, Golf Digest was founded earlier than Guitar World. Therefore",,
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,supporting_text,"Guitar World has been around longer than Golf Digest. Guitar World was first published in July 1980, while Golf Digest was first published in 1950.

Step-by-Step Explanation:
1. Identify the publication years for both magazines.
   - Guitar World: According to the document, Guitar World",,
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,native_4b,"Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been",,
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,native_4b_shuffled,The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The,,
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,raw_native_8b,"Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer:",,
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,writer_8b_correct,"Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer: 2

Answer:",,
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,writer_8b_shuffled,"Golf Digest

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer: Golf

Answer",,
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,writer_8b_zero,"Guitar World has been around longer than Golf Digest.

Explanation: Guitar World was first published in 1977, while Golf Digest was first published in 1969. Therefore, Guitar World has been around longer than Golf Digest.

Wait, but I just checked and found that Golf Digest was actually first published",,
5a7b40cd5542995eb53be8d4,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest,pair_reader_8b,"Guitar World has been around longer than Golf Digest.

Step-by-Step Explanation:

1. **Identify the founding dates of Guitar World and Golf Digest:**
   - Guitar World was founded in 1990.
   - Golf Digest was founded in 1989.

2. **Compare the founding",,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,question_only,"Both Chris Menges and Aram Avakian are musicians. Chris Menges is known for his work as a composer and musician, particularly in the realm of electronic music and film scores. Aram Avakian, on the other hand, is a renowned record producer and engineer, known for his work with various artists",,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,supporting_text,Both Chris Menges and Aram Avakian are film directors.,,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,native_4b,Chris Menges and Aram Avokianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,native_4b_shuffled,The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The Answer: The,,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,raw_native_8b,"The The The The The The The The The The The The The The The The The The The The The The The The The
The

Answer: The The The The The The The The The The The The The The The The The
The

Answer: The The The The The The The The The The The The",,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,writer_8b_correct,"The The The The The The The The The The The The The The The The The The The The The The The The The
The

Answer: The The The The The The The The The The The The The The The The The
The

Answer: The The The The The The The The The The The The",,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,writer_8b_shuffled,"What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer:",,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,writer_8b_zero,"Chris Menges and Aram Avakian are both musicians. Chris Menges is a composer and conductor, while Aram Avakian is a jazz musician and composer. They share the occupation of being musicians.

Answer: Chris Menges and Aram Avakian are both musicians. Chris Menges is a composer",,
5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,pair_reader_8b,"Chris Menges and Aram Avakian share the occupation of film editor.

Step-by-step explanation:

The question asks for the occupation shared by Chris Menges and Aram Avakian. 

First, we identify the occupations of each individual. 

Chris Menges is a film editor. 

Aram Avak",,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,question_only,"The answer is ""Desi Arnaz.""

But wait, the question is about Dawn Lake describing the star of ""I Love Lucy"" as what. Let me think again. Dawn Lake is a person, but I'm not sure about her connection to ""I Love Lucy."" Maybe it's a trick question or a reference",,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,supporting_text,"The answer is ""Lucille Ball"". The question asks what Dawn Lake described the star of ""I Love Lucy"" as. From the document about Dawn Lake, Sentence 1 states that Bert Newton described her as ""our greatest comedienne - Australia's Lucille Ball"". However, this is a description of Dawn Lake herself",,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,native_4b,"Dawn Lake described the star of ""I Love Lucy"" as what?

Answer: Dawn Lake described the star of ""I Love Lucy"" as what?

Answer: Dawn Lake described the star of ""I Love Lucy"" as what?

Answer: Dawn Lake described the star of ""I Love Lucy"" as what?

Answer:",,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,native_4b_shuffled,"What? The star of ""I Love Lucy"" as what? The as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what as what",,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,raw_native_8b,Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn,,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,writer_8b_correct,Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn,,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,writer_8b_shuffled,"I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy

Answer: I Love Lucy",,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,writer_8b_zero,"The star of ""I Love Lucy"" was Lucille Ball, and she was known for her comedic acting and her role as the titular character in the show.

Wait, but the question is about Dawn Lake describing the star of ""I Love Lucy"" as what? So maybe the answer is that Dawn Lake described the star",,
5ab615cf554299488d4d9aa3,"Dawn Lake described the star of ""I Love Lucy"" as what?",our greatest comedienne,pair_reader_8b,"""Lucille Ball""
Step-by-Step Explanation:
1. The question is about identifying the star of ""I Love Lucy"" based on the given evidence.
2. The evidence provided includes the statement ""Dawn Lake described the star of 'I Love Lucy' as what?"" and the subsequent information about Dawn Lake and",,
5a8b42be55429949d91db515,What profession does John Lanchester and Alan Dean Foster have in common?,novelist,question_only,"Both are authors.
Okay, so I need to figure out what profession John Lanchester and Alan Dean Foster have in common. Let me start by recalling what I know about these two authors.

First, John Lanchester. I remember he's a British author, right? He's written novels, maybe some non",,
5a8b42be55429949d91db515,What profession does John Lanchester and Alan Dean Foster have in common?,novelist,supporting_text,Both John Lanchester and Alan Dean Foster are authors.,,
