sample_id,type,condition,answer,prediction,em,token_f1,nll,manual_c_p_w
5a7b40cd5542995eb53be8d4,comparison,question_only,Golf Digest,"To determine which magazine has been around longer, Guitar World or Golf Digest, we need to look at their founding dates. Guitar World was first published in 1977, while Golf Digest was established in 1945. Comparing these two dates, Golf Digest was founded earlier than Guitar World. Therefore",0.0,0.07999999999999999,12.727783203125,
5aba749055429901930fa7d8,comparison,question_only,director,"Both Chris Menges and Aram Avakian are musicians. Chris Menges is known for his work as a composer and musician, particularly in the realm of electronic music and film scores. Aram Avakian, on the other hand, is a renowned record producer and engineer, known for his work with various artists",0.0,0.0,26.231399536132812,
5a7b40cd5542995eb53be8d4,comparison,native4_lora_off,Golf Digest,"Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been",0.0,0.07407407407407407,8.62838077545166,
5aba749055429901930fa7d8,comparison,native4_lora_off,director,Chris Menges and Aram Avokianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,0.0,0.0,17.9560489654541,
5a7b40cd5542995eb53be8d4,comparison,native4_lora_on,Golf Digest,"Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been",0.0,0.07407407407407407,8.62838077545166,
5aba749055429901930fa7d8,comparison,native4_lora_on,director,Chris Menges and Aram Avokianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,0.0,0.0,17.9560489654541,
5a7b40cd5542995eb53be8d4,comparison,native4_shuffled,Golf Digest,The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The,0.0,0.0,9.161713600158691,
5aba749055429901930fa7d8,comparison,native4_shuffled,director,"What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer:",0.0,0.0,16.918441772460938,
5a7b40cd5542995eb53be8d4,comparison,previous_writer8,Golf Digest,"Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been",0.0,0.07407407407407407,7.562490463256836,
5aba749055429901930fa7d8,comparison,previous_writer8,director,"What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer:",0.0,0.0,18.127208709716797,
5a7b40cd5542995eb53be8d4,comparison,q35_old_s2,Golf Digest,"var
 var



 var var var var var var varvar the var var var var var var var var var var var var var var var var var var var the var the var the show var var var var var var var var var var var var",0.0,0.0,15.33225154876709,
5aba749055429901930fa7d8,comparison,q35_old_s2,director,"一个 in的在在在在的的的：二一个 the向向明确.定定明确的便明确定定明确

明确




便
便
便
便
便
便
便
便
便
便
便
便
便
便
便
便",0.0,0.0,14.18617057800293,
