sample_id,type,condition,answer,prediction,em,token_f1,nll,manual_c_p_w
5a7b40cd5542995eb53be8d4,comparison,f0_scale_only_correct,Golf Digest,"Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been",0.0,0.07407407407407407,7.664881229400635,
5aba749055429901930fa7d8,comparison,f0_scale_only_correct,director,"What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer:",0.0,0.0,18.069171905517578,
5ab615cf554299488d4d9aa3,bridge,f0_scale_only_correct,our greatest comedienne,Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn,0.0,0.0,10.371525764465332,
5a8b42be55429949d91db515,comparison,f0_scale_only_correct,novelist,Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:,0.0,0.0,14.84103012084961,
5a7b40cd5542995eb53be8d4,comparison,f0_scale_only_shuffled,Golf Digest,"Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Question: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been",0.0,0.07407407407407407,9.466952323913574,
5aba749055429901930fa7d8,comparison,f0_scale_only_shuffled,director,111111111111111111111111111111111111111111111111111111111111111,0.0,0.0,19.268272399902344,
5ab615cf554299488d4d9aa3,bridge,f0_scale_only_shuffled,our greatest comedienne,"What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer:",0.0,0.0,17.60181427001953,
5a8b42be55429949d91db515,comparison,f0_scale_only_shuffled,novelist,Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:,0.0,0.0,15.934531211853027,
5a7b40cd5542995eb53be8d4,comparison,f0_scale_only_zero,Golf Digest,"Guitar World has been around longer than Golf Digest.

Explanation: Guitar World was first published in 1969, while Golf Digest was first published in 1969 as well. However, Guitar World has had a more consistent publication schedule and has been published more frequently over the years. Additionally, Guitar World",0.0,0.08163265306122448,13.596491813659668,
5aba749055429901930fa7d8,comparison,f0_scale_only_zero,director,"Both Chris Menges and Aram Avakian are musicians.

**Reasoning**: Chris Menges is a composer and musician known for his work in the 1960s, particularly with the band The Association. Aram Avakian is a producer and musician, famous for his work with The Doors and",0.0,0.0,19.742223739624023,
5ab615cf554299488d4d9aa3,bridge,f0_scale_only_zero,our greatest comedienne,"The star of ""I Love Lucy"" was Lucille Ball, and she was known for her comedic acting and her role as the titular character in the show.

Wait, but the question is about Dawn Lake describing the star of ""I Love Lucy"" as what? So maybe the answer is that Dawn Lake described the star",0.0,0.0,11.414072036743164,
5a8b42be55429949d91db515,comparison,f0_scale_only_zero,novelist,"Both are authors.

But wait, I need to check if that's correct. Let me think again. John Lanchester is a British author known for novels like ""Bull"" and ""The Debt."" Alan Dean Foster is an American author who has written science fiction and fantasy novels, including ""The City and the",0.0,0.0,15.9664306640625,
5a7b40cd5542995eb53be8d4,comparison,f1_correct,Golf Digest,"Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been around longer, Golf Digest or Golf Digest?

Answer: Which magazine has been",0.0,0.07407407407407407,7.664881229400635,
5aba749055429901930fa7d8,comparison,f1_correct,director,"What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer: What occupation do Chris Menges and Aram Avakian share?

Answer:",0.0,0.0,18.069171905517578,
5ab615cf554299488d4d9aa3,bridge,f1_correct,our greatest comedienne,Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn Dawn,0.0,0.0,10.371525764465332,
5a8b42be55429949d91db515,comparison,f1_correct,novelist,Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:,0.0,0.0,14.84103012084961,
5a7b40cd5542995eb53be8d4,comparison,f1_shuffled,Golf Digest,"Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Question: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been",0.0,0.07407407407407407,9.466952323913574,
5aba749055429901930fa7d8,comparison,f1_shuffled,director,111111111111111111111111111111111111111111111111111111111111111,0.0,0.0,19.268272399902344,
5ab615cf554299488d4d9aa3,bridge,f1_shuffled,our greatest comedienne,"What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer: What?

Answer:",0.0,0.0,17.60181427001953,
5a8b42be55429949d91db515,comparison,f1_shuffled,novelist,Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer:,0.0,0.0,15.934531211853027,
5a7b40cd5542995eb53be8d4,comparison,f1_zero,Golf Digest,"Guitar World has been around longer than Golf Digest.

Explanation: Guitar World was first published in 1969, while Golf Digest was first published in 1969 as well. However, Guitar World has had a more consistent publication schedule and has been published more frequently over the years. Additionally, Guitar World",0.0,0.08163265306122448,13.596491813659668,
5aba749055429901930fa7d8,comparison,f1_zero,director,"Both Chris Menges and Aram Avakian are musicians.

**Reasoning**: Chris Menges is a composer and musician known for his work in the 1960s, particularly with the band The Association. Aram Avakian is a producer and musician, famous for his work with The Doors and",0.0,0.0,19.742223739624023,
5ab615cf554299488d4d9aa3,bridge,f1_zero,our greatest comedienne,"The star of ""I Love Lucy"" was Lucille Ball, and she was known for her comedic acting and her role as the titular character in the show.

Wait, but the question is about Dawn Lake describing the star of ""I Love Lucy"" as what? So maybe the answer is that Dawn Lake described the star",0.0,0.0,11.414072036743164,
5a8b42be55429949d91db515,comparison,f1_zero,novelist,"Both are authors.

But wait, I need to check if that's correct. Let me think again. John Lanchester is a British author known for novels like ""Bull"" and ""The Debt."" Alan Dean Foster is an American author who has written science fiction and fantasy novels, including ""The City and the",0.0,0.0,15.9664306640625,
